,Range,Names,Country,Performances,Null,Nb,City,Date,Year,Sex
3135,1 ,Teddy Tamgho,FRA ,17.92,i,1,Paris-Bercy,Mar 06,2011,M
3136,2 ,Teddy Tamgho,FRA ,17.91,i,1,Aubière,Feb 20,2011,M
3137,3 ,Fabrizio Donato,ITA ,17.73,i,2,Paris-Bercy,Mar 06,2011,M
3138,4 ,Marian Oprea,ROU ,17.62,i,3,Paris-Bercy,Mar 06,2011,M
3139,1 ,Christian Taylor,USA ,17.81,,1,London,Aug 09,2012,M
3140,2 ,Will Claye,USA ,17.62,,2,London,Aug 09,2012,M
3141,3 ,Lyukman Adams,RUS ,17.53,,1,Sochi,May 27,2012,M
3142,3 ,Fabrizio Donato,ITA ,17.53,,-,Helsinki,Jun 30,2012,M
3143,5 ,Osviel Hernández,CUB ,17.49,,1,La Habana,Feb 03,2012,M
3144,6 ,Daniele Greco,ITA ,17.47,,1,Potenza,Jun 09,2012,M
3145,7 ,Jonathan Silva,BRA ,17.39,,1,São Paulo,Mar 31,2012,M
3146,8 ,Bin Dong,CHN ,17.38,,1,Zhaoqing,Apr 14,2012,M
3147,9 ,Shuo Cao,CHN ,17.35,,2,Zhaoqing,Apr 14,2012,M
3148,10 ,Phillips Idowu,GBR ,17.31,,1,Hengelo,May 27,2012,M
3149,11 ,Ruslan Samitov,RUS ,17.25,,1,Penza,Jun 07,2012,M
3150,12 ,Henry Frayne,AUS ,17.23,,-,Melbourne,Mar 02,2012,M
3151,12 ,Tosin Oke,NGR ,17.23,,1,Calabar,Jun 20,2012,M
3152,12 ,Leevan Sands,BAH ,17.23,,1,Paris Saint-Denis,Jul 06,2012,M
3153,15 ,Yevgeniy Ektov,KAZ ,17.22,,1,Almaty,Jul 01,2012,M
3154,16 ,Roman Valiyev,KAZ ,17.20,,1,Almaty,Jun 18,2012,M
3155,17 ,Aleksey Fedorov,RUS ,17.19,,1,Yerino,Jul 22,2012,M
3156,18 ,Arnie David Girat,CUB ,17.17,,3,La Habana,Feb 03,2012,M
3157,18 ,Alexis Copello,CUB ,17.17,,1,Rio de Janeiro,May 20,2012,M
3158,18 ,Benjamin Compaoré,FRA ,17.17,,1,Rieti,Sep 09,2012,M
3159,21 ,Ernesto Revé,CUB ,17.13,,1,La Habana,Mar 24,2012,M
3160,22 ,Karol Hoffmann,POL ,17.09,,1q2,Helsinki,Jun 28,2012,M
3161,23 ,Aarik Wilson,USA ,17.07,,1,"Walnut, CA",Apr 21,2012,M
3162,24 ,Sheryf El-Sheryf,UKR ,17.04,,2,Stockholm,Aug 17,2012,M
3163,25 ,Jadel Gregório,BRA ,16.99,,1,São Paulo,Jul 01,2012,M
3164,1 ,Will Claye,USA ,17.70,i,1,Istanbul,Mar 11,2012,M
3165,1 ,Teddy Tamgho,FRA ,18.04,,1,Moskva,Aug 18,2013,M
3166,2 ,Pedro Pablo Pichardo,CUB ,17.69,,1,La Habana,Jun 04,2013,M
3167,3 ,Christian Taylor,USA ,17.66,,1,Birmingham,Jun 30,2013,M
3168,4 ,Will Claye,USA ,17.52,,3,Moskva,Aug 18,2013,M
3169,5 ,Ernesto Revé,CUB ,17.46,,1,La Habana,Mar 17,2013,M
3170,6 ,Yoann Rapinier,FRA ,17.45,,2,Paris,Jul 13,2013,M
3171,7 ,Samyr Laine,HAI ,17.36,,1c1,"Walnut, CA",Apr 20,2013,M
3172,8 ,Shuo Cao,CHN ,17.26,,1,Shenyang,Sep 10,2013,M
3173,9 ,Daniele Greco,ITA ,17.25,,2,Monaco,Jul 19,2013,M
3174,10 ,Marian Oprea,ROU ,17.24,,1,Stara Zagora,Jul 28,2013,M
3175,11 ,Ryan Grinnell,USA ,17.22,,1,"Chicago, IL",Jun 27,2013,M
3176,12 ,Aleksey Fedorov,RUS ,17.13,,1,Tampere,Jul 14,2013,M
3177,13 ,Roman Valiyev,KAZ ,17.10,,1,Bangkok,May 04,2013,M
3178,14 ,Zlatozar Atanasov,BUL ,17.09,,1,Burgas,May 19,2013,M
3179,15 ,Benjamin Compaoré,FRA ,17.07,,1,Montreuil-sous-Bois,Jun 03,2013,M
3180,15 ,Gaëtan Saku Bafuanga Baya,FRA ,17.07,,1,La Roche-sur-Yon,Jul 24,2013,M
3181,17 ,Dimítrios Tsiámis,GRE ,17.05,,1,Athína,Jul 20,2013,M
3182,18 ,Viktor Kuznetsov,UKR ,17.01,,1,Kazan,Jul 09,2013,M
3183,19 ,Renjith Maheswary,IND ,16.98,,1,Chennai,Jun 07,2013,M
3184,19 ,Fabrizio Schembri,ITA ,16.98,,1,Milano,Jul 28,2013,M
3185,19 ,Bin Dong,CHN ,16.98,,3q1,Moskva,Aug 16,2013,M
3186,22 ,Jefferson Sabino,BRA ,16.94,,1,São Paulo,Jun 09,2013,M
3187,23 ,Harold Correa,FRA ,16.92,,1,Villeneuve-d'Ascq,May 19,2013,M
3188,23 ,Omar Craddock,USA ,16.92,,1,"Eugene, OR",Jun 08,2013,M
3189,25 ,Fabrizio Donato,ITA ,16.86,,5,Lausanne,Jul 04,2013,M
3190,1 ,Daniele Greco,ITA ,17.70,i,1,Göteborg,Mar 02,2013,M
3191,2 ,Ruslan Samitov,RUS ,17.30,i,2,Göteborg,Mar 02,2013,M
3192,1 ,Pedro Pablo Pichardo,CUB ,17.76,,1,La Habana,Feb 07,2014,M
3193,2 ,Will Claye,USA ,17.75,,1,"Sacramento, CA",Jun 27,2014,M
3194,3 ,Ernesto Revé,CUB ,17.58,,2,La Habana,Feb 07,2014,M
3195,4 ,Christian Taylor,USA ,17.51,,1,Zürich,Aug 28,2014,M
3196,5 ,Benjamin Compaoré,FRA ,17.48,,1,Marrakech,Sep 14,2014,M
3197,6 ,Godfrey Khotso Mokoena,RSA ,17.35,,2,Marrakech,Sep 14,2014,M
3198,7 ,Shuo Cao,CHN ,17.30,,1,Incheon,Oct 02,2014,M
3199,8 ,Lyukman Adams,RUS ,17.29,,3,"Eugene, OR",May 31,2014,M
3200,9 ,Samyr Laine,HAI ,17.27,,1,"Alexandria, VA",Aug 31,2014,M
3201,10 ,Lázaro Martínez,CUB ,17.24,,2,La Habana,Feb 01,2014,M
3202,11 ,Yordanis Durañona,DMA ,17.20,A,1,Ciudad de México,Aug 16,2014,M
3203,12 ,Arpinder Singh,IND ,17.17,,1,Lucknow,Jun 08,2014,M
3204,13 ,Yoann Rapinier,FRA ,17.16,,1,Reims,Jul 12,2014,M
3205,14 ,Chris Benard,USA ,17.10,,3,"Sacramento, CA",Jun 27,2014,M
3206,15 ,Chris Carter,USA ,17.09,,1,"Austin, TX",May 03,2014,M
3207,16 ,Aleksey Fedorov,RUS ,17.07,,1,Kazan,Jul 26,2014,M
3208,17 ,Alexis Copello,CUB ,17.05,,1,Cluj-Napoca,Jun 06,2014,M
3209,18 ,Phillips Idowu,GBR ,16.99,,1,Brisbane,May 31,2014,M
3210,19 ,Omar Craddock,USA ,16.98,,1c1,"Austin, TX",Mar 28,2014,M
3211,20 ,Nelson Évora,POR ,16.97,,4,Paris Saint-Denis,Jul 05,2014,M
3212,20 ,Tosin Oke,NGR ,16.97,,2,Marrakech,Aug 13,2014,M
3213,22 ,Dmitriy Sorokin,RUS ,16.96,,1,Sochi,May 30,2014,M
3214,23 ,Bin Dong,CHN ,16.95,,2,Incheon,Oct 02,2014,M
3215,24 ,Jonathan Henrique Silva,BRA ,16.94,,1,Uberlândia,May 07,2014,M
3216,24 ,Marian Oprea,ROU ,16.94,,5,Zürich,Aug 14,2014,M
3217,1 ,Lyukman Adams,RUS ,17.37,i,1,Sopot,Mar 09,2014,M
3218,1 ,Christian Taylor,USA ,18.21,,1,Beijing,Aug 27,2015,M
3219,2 ,Pedro P. Pichardo,CUB ,18.08,,1,La Habana,May 28,2015,M
3220,3 ,Omar Craddock,USA ,17.53,,1c2,"Eugene, OR",Jun 28,2015,M
3221,4 ,Nelson Évora,POR ,17.52,,3,Beijing,Aug 27,2015,M
3222,5 ,Marquis Dendy,USA ,17.50,,c1,"Eugene, OR",Jun 12,2015,M
3223,6 ,Will Claye,USA ,17.48,,2c2,"Eugene, OR",Jun 28,2015,M
3224,7 ,Aleksey Fedorov,RUS ,17.42,,1,Adler,May 29,2015,M
3225,8 ,Lyukman Adams,RUS ,17.34,,1,Cheboksary,Aug 05,2015,M
3226,9 ,Dmitriy Sorokin,RUS ,17.29,,1,Gwangju,Jul 09,2015,M
3227,10 ,Teddy Tamgho,FRA ,17.24,,3,Doha,May 15,2015,M
3228,11 ,Dmitriy Chizhikov,RUS ,17.20,,1,Saransk,Jun 17,2015,M
3229,12 ,Latario Collie-Minns,BAH ,17.18,,f,"Starkville, MS",May 16,2015,M
3230,13 ,Alexis Copello,CUB ,17.15,,2,Roma,Jun 04,2015,M
3231,14 ,Bin Dong,CHN ,17.12,,f,Sapporo,Jul 12,2015,M
3232,15 ,Marian Oprea,ROU ,17.07,,2q1,Beijing,Aug 26,2015,M
3233,16 ,Nazim Babayev,AZE ,17.04,,1,Eskilstuna,Jul 19,2015,M
3234,17 ,Georgi Tsonov,BUL ,17.03,,1,Stara Zagora,Jul 18,2015,M
3235,18 ,Lázaro Martínez,CUB ,17.02,,1,La Habana,May 15,2015,M
3236,18 ,Ernesto Revé,CUB ,17.02,,2,La Habana,May 28,2015,M
3237,20 ,Benjamin Compaoré,FRA ,17.01,,2,Birmingham,Jun 07,2015,M
3238,21 ,Deokhyeon Kim,KOR ,17.00,,f,Sapporo,Jul 17,2015,M
3239,21 ,Tosin Oke,NGR ,17.00,,1,Brazzaville,Sep 14,2015,M
3240,23 ,Leevan Sands,BAH ,16.99,,2,Toronto,Jul 24,2015,M
3241,24 ,Yordanis Durañona,DMA ,16.98,,1,San José CRC,Aug 07,2015,M
3242,24 ,Olu Olamigoke,NGR ,16.98,,2,Brazzaville,Sep 14,2015,M
3243,1 ,Christian Taylor,USA ,17.86,,1,Rio de Janeiro,Aug 16,2016,M
3244,2 ,Will Claye,USA ,17.76,,2,Rio de Janeiro,Aug 16,2016,M
3245,3 ,Bin Dong,CHN ,17.58,,3,Rio de Janeiro,Aug 16,2016,M
3246,4 ,Renjith Maheswary,IND ,17.30,,1,Bangalore,Jul 11,2016,M
3247,5 ,Chris Benard,USA ,17.21,,3,"Eugene, OR",Jul 09,2016,M
3248,6 ,Max Hess,GER ,17.20,,1,Amsterdam,Jul 09,2016,M
3249,7 ,Troy Doris,GUY ,17.18,,1,"Clermont, FL",May 14,2016,M
3250,7 ,Chris Carter,USA ,17.18,,3,"Eugene, OR",Jul 29,2016,M
3251,9 ,Karol Hoffmann,POL ,17.16,,2,Amsterdam,Jul 09,2016,M
3252,9 ,Omar Craddock,USA ,17.16,,4,"Eugene, OR",Jul 09,2016,M
3253,11 ,Teddy Tamgho,FRA ,17.15,,1,Angers,Jun 25,2016,M
3254,12 ,Tosin Oke,NGR ,17.13,,1,Durban,Jun 25,2016,M
3255,12 ,Shuo Cao,CHN ,17.13,,4,Rio de Janeiro,Aug 16,2016,M
3256,14 ,John Murillo,COL ,17.09,,5,Rio de Janeiro,Aug 16,2016,M
3257,15 ,Harold Corréa,FRA ,17.08,,1,Villeneuve-d'Ascq,May 22,2016,M
3258,16 ,Lázaro Martínez,CUB ,17.06,,1,Bydgoszcz,Jul 21,2016,M
3259,17 ,Nelson Évora,POR ,17.03,,6,Rio de Janeiro,Aug 16,2016,M
3260,18 ,Donald Scott,USA ,17.02,,1,"Leonora, GUY",Jun 18,2016,M
3261,19 ,Alberto Álvarez,MEX ,16.99,,1,"Norwalk, CA",Apr 16,2016,M
3262,19 ,Muhammad Halim,ISV ,16.99,,1,"Baltimore, MD",Apr 23,2016,M
3263,21 ,Alexis Copello,CUB ,16.98,,3,Doha,May 06,2016,M
3264,22 ,Latario Collie-Minns,BAH ,16.97,,1c2,"Eugene, OR",Jun 10,2016,M
3265,22 ,Yaming Zhu,CHN ,16.97,,1,Tianjin,Sep 17,2016,M
3266,24 ,Fabrizio Donato,ITA ,16.93,,2,Rovereto,Sep 06,2016,M
3267,25 ,Fabian Florant,NED ,16.92,,1,"Clermont, FL",Apr 30,2016,M
3268,25 ,Cristian Nápoles,CUB ,16.92,,1,La Habana,Jun 17,2016,M
3269,25 ,Matthew O'Neal,USA ,16.92,,f,"Eugene, OR",Jul 09,2016,M
3270,1 ,Bin Dong,CHN ,17.41,i,1,Nanjing,Feb 29,2016,M
3271,1 ,Christian Taylor,USA ,18.11,,1,"Eugene, OR",May 27,2017,M
3272,2 ,Will Claye,USA ,17.91,,1,"Sacramento, CA",Jun 23,2017,M
3273,3 ,Pedro P. Pichardo,CUB ,17.60,,1,Lausanne (Pontaise),Jul 06,2017,M
3274,4 ,Chris Benard,USA ,17.48,,2,"Sacramento, CA",Jun 23,2017,M
3275,5 ,Andy Díaz,CUB ,17.40,,1,La Habana,Mar 17,2017,M
3276,6 ,Fabrizio Donato,ITA ,17.32,,1,Pierre-Bénite,Jun 09,2017,M
3277,7 ,Jordan A. Díaz,CUB ,17.30,A,1,Nairobi (Kasarani),Jul 14,2017,M
3278,8 ,Cristian Nápoles,CUB ,17.27,,2,La Habana,Mar 17,2017,M
3279,8 ,Bin Dong,CHN ,17.27,,3,"Eugene, OR",May 27,2017,M
3280,10 ,Donald Scott,USA ,17.25,,3,"Sacramento, CA",Jun 23,2017,M
3281,11 ,Yaming Zhu,CHN ,17.23,,2,Tianjin,Sep 03,2017,M
3282,12 ,Shuo Cao,CHN ,17.22,,3,Tianjin,Sep 03,2017,M
3283,13 ,Nelson Évora,POR ,17.19,,3,London (Olympic Stadium),Aug 10,2017,M
3284,14 ,Ruiting Wu,CHN ,17.18,,1,Kawasaki (Todoroki Stadium),May 21,2017,M
3285,14 ,Nazim Babayev,AZE ,17.18,,1,Bydgoszcz,Jul 16,2017,M
3286,16 ,Artem Primak,RUS ,17.17,,1,Zhukovskiy (Meteor),Jul 29,2017,M
3287,17 ,Alexis Copello,AZE ,17.16,,5,London (Olympic Stadium),Aug 10,2017,M
3288,18 ,Simo Lipsanen,FIN ,17.14,,2,Bydgoszcz,Jul 16,2017,M
3289,19 ,Jean-Marc Pontvianne,FRA ,17.13,,1,Montgeron,May 14,2017,M
3290,19 ,Max Hess,GER ,17.13,,f,Erfurt,Jul 08,2017,M
3291,21 ,Matthew O'Neal,USA ,17.12,,1c2,"Tampa (USF), FL",Mar 18,2017,M
3292,22 ,Omar Craddock,USA ,17.08,,2,Doha (Hamad Bin Suhaim),May 05,2017,M
3293,23 ,Lázaro Martínez,CUB ,17.07,,1,La Habana,Feb 11,2017,M
3294,24 ,Momchil Karailiev,BUL ,17.05,,1,Sofia (NSA),Jun 17,2017,M
3295,25 ,Yordanys Duranona,DMA ,17.02,,1,Monterrey (CARE),Jun 18,2017,M
3296,1 ,Pedro Pablo Pichardo,POR ,17.95,,1,Doha (QAT),May 04,2018,M
3297,2 ,Christian Taylor,USA ,17.81,,2,Doha (QAT),May 04,2018,M
3298,3 ,Almir Dos Santos,BRA ,17.53,,1,Baie Mahault (FRA),May 12,2018,M
3299,4 ,Will Claye,USA ,17.44,,,"Eugene, OR (USA)",May 26,2018,M
3300,5 ,Jordan Alejandro Díaz Fortun,CUB ,17.41,,1,La Habana (CUB),Jun 08,2018,M
3301,6 ,Omar Craddock,USA ,17.40,,1,"Chula Vista, CA (USA)",Jun 09,2018,M
3302,6 ,Chris Benard,USA ,17.40,,2,"Chula Vista, CA (USA)",Jun 09,2018,M
3303,8 ,Donald Scott,USA ,17.37,,1,"Des Moines, IA (USA)",Jun 22,2018,M
3304,9 ,Cristian Nápoles,CUB ,17.34,,1,Barranquilla (COL),Aug 02,2018,M
3305,10 ,Lázaro Martínez,CUB ,17.28,,1,Camagüey (CUB),Feb 04,2018,M
3306,11 ,Alexis Copello,AZE ,17.24,,4,"Eugene, OR (USA)",May 26,2018,M
3307,12 ,Bin Dong,CHN ,17.22,,5,"Eugene, OR (USA)",May 26,2018,M
3308,13 ,Chris Carter,USA ,17.18,,,"Houston, TX (USA)",Mar 16,2018,M
3309,14 ,Keandre Bates,USA ,17.16,,3,"Des Moines, IA (USA)",Jun 22,2018,M
3310,15 ,Aleksandr Yurchenko,RUS ,17.15,,1,Zhukovskiy (RUS),Jul 12,2018,M
3311,16 ,Yaming Zhu,CHN ,17.11,,1,Guiyang (CHN),Jun 17,2018,M
3312,17 ,Nelson Évora,POR ,17.10,,1,Berlin (GER),Aug 12,2018,M
3313,18 ,Arpinder Singh,IND ,17.09,,1,Guwahati (IND),Jun 29,2018,M
3314,19 ,Harold Correa,FRA ,17.05,,1,Albi (FRA),Jul 07,2018,M
3315,20 ,Henry D. Rosique,CUB ,17.02,,2,La Habana (CUB),Feb 17,2018,M
3316,20 ,Hugues Fabrice Zango,BUR ,17.02,,2f1,Ostrava (CZE),Sep 09,2018,M
3317,22 ,Pablo Torrijos,ESP ,16.98,,,Getafe (ESP),Jul 21,2018,M
3318,23 ,Miguel Van Assen,SUR ,16.96,,3,Barranquilla (COL),Aug 02,2018,M
3319,24 ,Max Heß,GER ,16.95,,6,"Eugene, OR (USA)",May 26,2018,M
3320,24 ,Jean-Marc Pontvianne,FRA ,16.95,,1,Marseille (FRA),Jun 16,2018,M
3321,1 ,Will Claye,USA ,18.14,,1,"Long Beach, CA (USA)",Jun 29,2019,M
3322,2 ,Christian Taylor,USA ,17.92,,1f,Doha (QAT),Sep 29,2019,M
3323,3 ,Omar Craddock,USA ,17.68,,1,"Long Beach, CA (USA)",Apr 20,2019,M
3324,4 ,Hugues Fabrice Zango,BUR ,17.66,,3f,Doha (QAT),Sep 29,2019,M
3325,5 ,Pedro Pablo Pichardo,POR ,17.62,,4f,Doha (QAT),Sep 29,2019,M
3326,6 ,Jordan Alejandro Díaz Fortun,CUB ,17.49,,1,Camagüey (CUB),Jul 03,2019,M
3327,7 ,Ruiting Wu,CHN ,17.47,,1,Shenyang (CHN),Aug 03,2019,M
3328,8 ,Donald Scott,USA ,17.43,,3,Roma (ITA),Jun 06,2019,M
3329,9 ,Yaming Zhu,CHN ,17.40,,1,La Chaux-de-Fonds (SUI),Jun 30,2019,M
3330,10 ,Cristian Nápoles,CUB ,17.38,,5f,Doha (QAT),Sep 29,2019,M
3331,11 ,Necatí Er,TUR ,17.37,,1,Gävle (SWE),Jul 14,2019,M
3332,12 ,Alexsandro Melo,BRA ,17.31,,1,Cochabamba (BOL),Apr 24,2019,M
3333,12 ,Dmitriy Sorokin,RUS ,17.31,,1,Cheboksary (RUS),Jul 27,2019,M
3334,14 ,Benjamin Williams,GBR ,17.27,,1,Birmingham (GBR),Aug 25,2019,M
3335,15 ,Almir Dos Santos,BRA ,17.23,,1,Bragança Paulista (BRA),Sep 01,2019,M
3336,16 ,Andy Díaz,CUB ,17.22,,1,Camagüey (CUB),Feb 10,2019,M
3337,17 ,Yaoqing Fang,CHN ,17.17,,1,Chongqing (CHN),Jun 04,2019,M
3338,18 ,Chengetayi Mapaya,ZIM ,17.13,,1,"Austin, TX (USA)",Jun 07,2019,M
3339,18 ,Nelson Évora,POR ,17.13,,5,Monaco (MON),Jul 12,2019,M
3340,20 ,Alexis Copello,AZE ,17.10,,7f,Doha (QAT),Sep 29,2019,M
3341,21 ,Tomáš Veszelka,SVK ,17.09,,2,Wuhan (CHN),Oct 26,2019,M
3342,22 ,Yasser Mohamed Triki,ALG ,17.08,,3,Wuhan (CHN),Oct 26,2019,M
3343,22 ,Jordan Scott,JAM ,17.08,,,"Charlottesville, VA (USA)",May 11,2019,M
3344,22 ,Levon Aghasyan,ARM ,17.08,,1,Artashat (ARM),Jul 05,2019,M
3345,25 ,Nazim Babayev,AZE ,17.06,,5,Roma (ITA),Jun 06,2019,M
3346,1 ,Galina Chistyakova,URS ,14.52,,1,Stockholm,Jul 03,1989,W
3347,2 ,Li Huirong,CHN ,14.34,,1,Shanghai,Sep 16,1989,W
3348,3 ,Sheila Hudson,USA ,13.90,,1,San Jose,Apr 15,1989,W
3349,4 ,Inara Curko,URS ,13.88,,1,Bryansk,Sep 10,1989,W
3350,5 ,Natalya Kayukova,URS ,13.78,,2,Bryansk,Sep 10,1989,W
3351,6 ,Yelena Semiraz,URS ,13.68,,1,Temopol,May 27,1989,W
3352,7 ,Tatyana Fyodorova,URS ,13.74,,1,Sochi,May 14,1989,W
3353,8 ,Renita Robinson,USA ,13.43,A,-,Provo,Jun 03,1989,W
3354,9 ,Fan Li,CHN ,13.38,,2,Shanghai,Sep 16,1989,W
3355,10 ,Irina Osipova,URS ,13.37,,2,Sochi,May 14,1989,W
3356,11 ,Vera Olenchenko,URS ,13.27,,3,Bryansk,Sep 10,1989,W
3357,12 ,Yelena Chicherova,URS ,13.26,,1,Chelyabinsk,Aug 18,1989,W
3358,13 ,Irina Babakova,URS ,13.25,,1,Voroshilovgrad,May 13,1989,W
3359,13 ,Yelena Apollonova,URS ,13.25,,1,Voronyezh,May 27,1989,W
3360,15 ,Tatyana Pavlova,URS ,13.24,,3,Sochi,May 14,1989,W
3361,16 ,Diana Wills,USA ,13.23,,1,Hampton,May 27,1989,W
3362,17 ,Svetlana Nikitina,URS ,13.11,,1,Kiev,Jun 29,1989,W
3363,18 ,Amanda Banks,USA ,13.06,A,2,Provo,Jun 03,1989,W
3364,19 ,Fu Xiaorong,CHN ,13.00,,3,Shanghai,Sep 16,1989,W
3365,1 ,Inna Lasovskaya,URS ,14.40,i,1,Moscow,Feb 26,1989,W
3366,2 ,Irina Privalova,URS ,13.72,i,2,Moscow,Feb 26,1989,W
3367,3 ,Irina Babakova,URS ,13.69,i,1,Donetsk,Mar 04,1989,W
3368,4 ,Yelena Chicherova,URS ,13.68,i,1,Lipetsk,Jan 22,1989,W
3369,5 ,Irina Osipova,URS ,13.61,i,3,Lipetsk,Jan 22,1989,W
3370,1 ,Li Huirong,CHN ,14.54,,1,Sapporo,Aug 25,1990,W
3371,2 ,Sofia Bozhanova,BUL ,14.06,,1,Sofia,Jun 03,1990,W
3372,3 ,Sheila Hudson,USA ,14.04,,1,Durham,Jun 02,1990,W
3373,4 ,Li Jing,CHN ,13.97,,2,Beijing,Jun 26,1990,W
3374,5 ,Irina Babakova,URS ,13.92,,1,Moscow,Jun 03,1990,W
3375,6 ,Olga Kontsevaya,URS ,13.80,,1,Sochi,May 13,1990,W
3376,7 ,Irina Melnikova,URS ,13.68,,1,Sverdlovsk,Jul 31,1990,W
3377,8 ,Inara Curko,URS ,13.67,,2,Moscow,Jun 09,1990,W
3378,9 ,Inna Lasovskaya,URS ,13.65,,2,Kiev,Jul 07,1990,W
3379,10 ,Donna Crumety,USA ,13.63,,2,Durham,Jun 02,1990,W
3380,11 ,Natalya Kayukova,URS ,13.62,,3,Kiev,Jul 07,1990,W
3381,12 ,Fan Li,CHN ,13.58,,3,Tianjin,Aug 07,1990,W
3382,13 ,Diana Wills,USA ,13.51,,3,Norwalk,Jun 15,1990,W
3383,13 ,Li Shuhua,CHN ,13.51,,-,Beijing,Jun 26,1990,W
3384,13 ,Yelena Semiraz,URS ,13.51,,1,Lugansk,Jul 25,1990,W
3385,13 ,Tamara Malesev,YUG ,13.51,,1,Sarajevo,Aug 18,1990,W
3386,17 ,Dagmar Urbankova,TCH ,13.39,,1,Prague,Jul 21,1990,W
3387,18 ,Tatyana Kotova,URS ,13.38,,2,Lugansk,Jul 25,1990,W
3388,19 ,Ragne Kytölä,FIN ,13.37,,1,Oulu,Aug 05,1990,W
3389,19 ,Rong Hanmei,CHN ,13.37,,,Tianjin,Aug 07,1990,W
3390,21 ,Natalya Shkarina,URS ,13.31,,4,Kiev,Jul 07,1990,W
3391,22 ,Tatyana Fyodorova,URS ,13.30,,5,Kiev,Jul 07,1990,W
3392,23 ,Vera Olenchenko,URS ,13.28,,3,Moscow,Jun 03,1990,W
3393,23 ,Robyne Johnson,USA ,13.28,,4,Norwalk,Jun 15,1990,W
3394,25 ,Liu Jingmin,CHN ,13.26,,-,Beijing,Jun 26,1990,W
3395,1 ,Galina Chistyakova,URS ,14.15,i,1,Moscow,Jan 14,1990,W
3396,2 ,Inna Lasovskaya,URS ,14.09,i,1,Moscow,Feb 25,1990,W
3397,3 ,Inessa Kravets,URS ,14.08,i,2,Moscow,Feb 25,1990,W
3398,4 ,Li Huirong,CHN ,14.00,i,1,Beijing,Mar 23,1990,W
3399,5 ,Tatyana Fyodorova,URS ,13.83,i,3,Moscow,Feb 25,1990,W
3400,1 ,Inessa Kravets,URS ,14.95,,1,Moscow,Jun 10,1991,W
3401,2 ,Li Huirong,CHN ,14.42,,1,Beijing,Jun 04,1991,W
3402,3 ,Yelena Semiraz,URS ,14.35,,2,Kiev,Jul 13,1991,W
3403,4 ,Natalya Kayukova,URS ,14.09,,1,Vladivostok,Aug 18,1991,W
3404,5 ,Sofia Bozhanova,BUL ,14.08,,1,Plovdiv,Jun 02,1991,W
3405,6 ,Inna Lasovskaya,URS ,14.05,,1,Kiev,Jul 13,1991,W
3406,7 ,Galina Chistyakova,URS ,14.04,,1,Malmö,Aug 05,1991,W
3407,8 ,Tatyana Matyashova,URS ,13.85,,1,Sochi,May 25,1991,W
3408,9 ,Svetlana Davydova,URS ,13.84,,1,Samara,Jun 02,1991,W
3409,9 ,Zhanna Gureyeva,URS ,13.84,,1,Staiki,Jun 26,1991,W
3410,11 ,Helga Radtke,GER ,13.83,,1,Cottbus,Jul 03,1991,W
3411,12 ,Irina Mishailova,URS ,13.81,,1,Krasnodar,Jun 23,1991,W
3412,12 ,Lyudmila Dubkova,URS ,13.81,,2,Odessa,Jul 26,1991,W
3413,14 ,Yan Zhang,CHN ,13.79,,,Hangzhou,Oct 12,1991,W
3414,15 ,Octavia Iacob,ROU ,13.74,,1,Bucharest,Jul 30,1991,W
3415,16 ,Liu Jingmin,CHN ,13.73,,,Dalian,May 07,1991,W
3416,17 ,Inara Curko,URS ,13.70,,3,Odessa,Jul 26,1991,W
3417,18 ,Li Shuhua,CHN ,13.69,,,Shijiazhuang,Apr 19,1991,W
3418,18 ,Irina Babakova,URS ,13.69,,4,Odessa,Jul 26,1991,W
3419,20 ,Lyudmila Galkina,URS ,13.67,,1,Thessaloniki,Aug 10,1991,W
3420,20 ,Tatyana Kotova,URS ,13.67,,1,Belaya Tserkov,Sep 14,1991,W
3421,22 ,Zhang Jing,CHN ,13.63,,,Tangshan,Sep 24,1991,W
3422,23 ,Lyudmila Chikomazova,URS ,13.61,,2,Krasnodar,Jun 04,1991,W
3423,24 ,Li Jing,CHN ,13.60,,2,Beijing,Jun 04,1991,W
3424,25 ,Diana Wills,USA ,13.58,,2,Stockholm,Jul 03,1991,W
3425,25 ,Urszula Wlodarczyk,POL ,13.58,,1,Kielce,Jul 14,1991,W
3426,1 ,Galina Chistyakova,RUS ,14.62,,1,Villeneuve d'Ascq,Sep 13,1992,W
3427,2 ,Li Huirong,CHN ,14.55,,1,Sapporo,Jul 19,1992,W
3428,3 ,Inessa Kravets,UKR ,14.41,,1,Oslo,Jul 04,1992,W
3429,4 ,Helga Radtke,GER ,14.30,,1,Rostock,May 20,1992,W
3430,5 ,Sheila Hudson,USA ,14.23,,1,New Orleans,Jun 20,1992,W
3431,6 ,Natalya Kayukova,RUS ,14.20,,2,Moscow,Jun 24,1992,W
3432,7 ,Yan Zhang,CHN ,14.14,,1,Wuhan,Oct 18,1992,W
3433,8 ,Yelena Senchukova,RUS ,14.09,,2,Villeneuve d'Ascq,Sep 13,1992,W
3434,9 ,Eloina Hechavarría,CUB ,14.07,,1,La Habana,May 14,1992,W
3435,9 ,Inna Lasovskaya,RUS ,14.07,,1,Bratislava,Jul 01,1992,W
3436,11 ,Sarka Kasparkova,TCH ,14.00,,1,Gateshead,Jul 18,1992,W
3437,12 ,Li Jing,CHN ,13.94,,2,Wuhan,Oct 18,1992,W
